test,len_a,len_b,product,lcs_length,time_2row,time_1row,speedup,match
1,2809,5489,15418601,691,0.028315,0.019007,1.4897,True
2,27626,33969,938427594,5515,1.285084,0.777512,1.6528,True
3,23424,28315,663250560,4635,0.909549,0.515191,1.7655,True
4,606,381,230886,78,0.006082,0.00495,1.2286,True
5,44187,49233,2175458571,8395,3.010038,1.857974,1.6201,True
6,13516,12724,171977584,2359,0.241012,0.140809,1.7116,True
7,23765,18357,436254105,3740,0.600723,0.328506,1.8287,True
8,36489,18241,665595849,4595,0.908054,0.514454,1.7651,True
9,8603,8651,74424553,1528,0.107123,0.065436,1.6371,True
10,37201,20158,749897758,4892,1.027736,0.565785,1.8165,True
11,27919,20460,571222740,4301,0.788295,0.433824,1.8171,True
12,13993,24131,337665083,3293,0.466454,0.274731,1.6979,True
13,28847,22246,641730362,4550,0.877245,0.475535,1.8448,True
14,32900,38065,1252338500,6352,1.722768,0.978024,1.7615,True
15,72,27,1944,7,0.004287,0.003666,1.1692,True
16,6068,5349,32457732,1020,0.049006,0.027626,1.7739,True
17,6009,8409,50529681,1258,0.07535,0.043626,1.7272,True
18,1297,5001,6486297,435,0.013988,0.009795,1.428,True
19,23274,12379,288108846,3027,0.398809,0.220813,1.8061,True
20,4706,5092,23962952,869,0.039236,0.022082,1.7768,True
21,2651,1519,4026869,361,0.010665,0.007258,1.4695,True
22,18509,36539,676300351,4657,0.933541,0.564514,1.6537,True
23,27861,18828,524566908,4097,0.726953,0.422382,1.7211,True
24,374,998,373252,104,0.004953,0.004577,1.082,True
25,41569,47640,1980347160,8000,2.747041,1.685389,1.6299,True
26,598,127,75946,42,0.006356,0.004908,1.2949,True
27,8661,4773,41338953,1168,0.061956,0.033618,1.8429,True
28,45353,41268,1871627604,7802,2.572887,1.418938,1.8132,True
29,16413,10387,170481831,2332,0.240741,0.138762,1.7349,True
30,21135,10497,221854095,2647,0.306348,0.166958,1.8349,True
31,689,549,378261,108,0.00482,0.004176,1.1541,True
32,419,526,220394,79,0.004945,0.004539,1.0894,True
33,12433,17812,221456596,2664,0.309222,0.182517,1.6942,True
34,24,41,984,3,0.004151,0.003821,1.0864,True
35,37060,39158,1451195480,6874,2.002629,1.133794,1.7663,True
36,75,36,2700,7,0.004321,0.003978,1.0863,True
37,1185,8971,10630635,540,0.020063,0.014036,1.4293,True
38,45826,47206,2163262156,8383,2.987116,1.880004,1.5889,True
39,129,177,22833,24,0.004299,0.003956,1.0867,True
40,4857,8328,40449096,1127,0.061936,0.036163,1.7127,True
41,9011,2250,20274750,777,0.03255,0.018757,1.7354,True
42,842,795,669390,140,0.005468,0.004566,1.1977,True
43,6550,9023,59100650,1382,0.085529,0.050761,1.6849,True
44,3602,7323,26377446,906,0.041421,0.025447,1.6277,True
45,583,261,152163,62,0.004967,0.004175,1.1896,True
46,9038,4514,40797532,1135,0.061181,0.033494,1.8266,True
47,9335,9871,92145785,1718,0.131863,0.075443,1.7478,True
48,2714,9300,25240200,874,0.040125,0.025322,1.5846,True
49,8173,4459,36443407,1065,0.054747,0.030607,1.7887,True
50,5959,8843,52695437,1286,0.07738,0.045131,1.7146,True
51,2475,5537,13704075,651,0.02409,0.015149,1.5902,True
52,938,877,822626,160,0.0055,0.004937,1.114,True
53,43458,49698,2159775684,8384,2.972533,1.817839,1.6352,True
54,13039,15512,202260968,2553,0.279462,0.161679,1.7285,True
55,6268,1455,9119940,518,0.017627,0.011157,1.58,True
56,527,430,226610,76,0.004818,0.00404,1.1926,True
57,317,313,99221,52,0.004266,0.004205,1.0146,True
58,43282,49540,2144190280,8353,2.947137,1.790175,1.6463,True
59,9885,8608,85090080,1636,0.121011,0.069742,1.7351,True
60,43391,44181,1917057771,7889,2.642213,1.524778,1.7329,True
61,41977,46244,1941184388,7930,2.675689,1.657504,1.6143,True
62,121,658,79618,47,0.004642,0.004358,1.0654,True
63,77,39,3003,7,0.003915,0.004262,0.9187,True
64,18953,15738,298282314,3088,0.413649,0.224332,1.8439,True
65,955,555,530025,124,0.005218,0.004722,1.1052,True
66,9929,6360,63148440,1403,0.091345,0.052934,1.7256,True
67,38940,38859,1513169460,7002,2.088668,1.205797,1.7322,True
68,28903,24215,699886145,4788,0.961824,0.529389,1.8169,True
69,28000,17342,485576000,3956,0.665491,0.357758,1.8602,True
70,492,529,260268,86,0.005089,0.004864,1.0462,True
71,47,56,2632,6,0.004078,0.003892,1.0479,True
72,6138,7745,47538810,1214,0.07012,0.041968,1.6708,True
73,13956,15557,217113492,2649,0.30302,0.17621,1.7197,True
74,566,987,558642,128,0.005363,0.004591,1.1682,True
75,42,19,798,3,0.004161,0.003889,1.0699,True
76,590,273,161070,70,0.004125,0.003799,1.086,True
77,5364,1533,8223012,503,0.016273,0.01078,1.5096,True
78,31167,20861,650174787,4581,0.889858,0.502484,1.7709,True
79,57,27,1539,4,0.004245,0.00415,1.0229,True
80,639,651,415989,109,0.005185,0.004898,1.0586,True
81,28733,22395,643475535,4539,0.886,0.494082,1.7932,True
82,34839,26629,927727731,5494,1.269491,0.70024,1.8129,True
83,1804,3677,6633308,452,0.013941,0.009994,1.3949,True
84,7980,1911,15249780,672,0.025887,0.015414,1.6795,True
85,19281,23326,449748606,3799,0.618946,0.355277,1.7421,True
86,3640,7269,26459160,915,0.041816,0.025777,1.6222,True
87,38385,15744,604333440,4377,0.83007,0.45353,1.8302,True
88,732,197,144204,61,0.004666,0.004041,1.1547,True
89,45052,48607,2189842564,8421,3.022743,1.814368,1.666,True
90,3667,4889,17927963,759,0.029774,0.018433,1.6153,True
91,21154,13250,280290500,3009,0.38647,0.209683,1.8431,True
92,17187,38314,658502718,4583,0.906369,0.539458,1.6801,True
93,254,621,157734,69,0.004698,0.004232,1.1101,True
94,30,14,420,3,0.00394,0.004153,0.9487,True
95,586,612,358632,101,0.004438,0.004206,1.055,True
96,30,49,1470,5,0.00427,0.004312,0.9903,True
97,48,54,2592,7,0.004347,0.004472,0.9719,True
98,41408,44923,1860171584,7776,2.556235,1.46391,1.7462,True
99,3053,4136,12627208,634,0.02251,0.014121,1.594,True
100,2686,5619,15092634,690,0.025825,0.016384,1.5762,True
